	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS	AREA	PERIMETER	WCOLGEN02_	WCOLGEN021	DPTO	NOMBRE_DPT	NOMBRE_MPI	NOMBRE_CAB	CLASEMUN	ZONA	OF_REG	REG_ZONAS	HECTARES	CENTROID_LNG	CENTROID_LAT
72	CO35	Bolívar	13	13	101	San Juan Nepomuceno	100.0	657	13657	640313943.46	129593.823062	76	518	13	BOLIVAR	SAN JUAN NEPOMUCENO	SAN JUAN NEPOMUCENO	CM	ZONA03	DABAR	DABARZONA03	64031.394	891065.5417036436	1591922.0149308532
73	CO35	Bolívar	13	13	095	María La Baja	95.0	442	13442	461953019.08	90735.780266	77	515	13	BOLIVAR	MARIA LA BAJA	MARIA LA BAJA	CM	ZONA03	DABAR	DABARZONA03	46195.302	861162.1711174172	1593534.4977360573
74	CO10	Cesar	20	20	204	Bosconia	100.0	060	20060	593421106.827	101747.233927	78	540	20	CESAR	BOSCONIA	BOSCONIA	CM	ZONA05	DABAR	DABARZONA05	59342.111	1021095.5275530417	1589490.7316130267
75	CO38	Magdalena	47	47	331	Tenerife	100.0	798	47798	584335460.652	107230.398471	79	504	47	MAGDALENA	TENERIFE	TENERIFE	CM	ZONA07	DABAR	DABARZONA07	58433.546	928316.1511365311	1587916.8779770718
76	CO38	Magdalena	47	47	326	Plato	100.0	555	47555	1452362858.58	233655.553217	80	1091	47	MAGDALENA	PLATO	PLATO	CM	ZONA07	DABAR	DABARZONA07	145236.286	942738.7798021937	1571314.1705411815
77	CO38	Magdalena	47	47	321	Ariguaní	87.0	058	47058	1079632803.11	159322.479747	81	487	47	MAGDALENA	ARIGUAINI	EL DIFICIL	CM	ZONA07	DABAR	DABARZONA07	107963.28	998186.6430193289	1578035.2669048808
78	CO10	Cesar	20	20	209	Becerril	100.0	045	20045	1376760976.99	198785.79584	82	539	20	CESAR	BECERRIL	BECERRIL	CM	ZONA05	DABAR	DABARZONA05	137676.098	1091703.9542921549	1567846.3126344986
79	CO35	Bolívar	13	13	100	San Jacinto	100.0	654	13654	438451203.337	99389.4828929	83	517	13	BOLIVAR	SAN JACINTO	SAN JACINTO	CM	ZONA03	DABAR	DABARZONA03	43845.12	886311.2038069132	1577525.1161656813
80	CO35	Bolívar	13	13	093	El Carmen de Bolívar	96.0	244	13244	812308577.682	158754.373419	84	511	13	BOLIVAR	EL CARMEN DE BOLIVAR	EL CARMEN DE BOLIVAR	CM	ZONA03	DABAR	DABARZONA03	81230.858	881453.5224532409	1563893.586445823
81	CO10	Cesar	20	20	211	El Paso	100.0	250	20250	878727778.781	154790.775045	85	545	20	CESAR	EL PASO	EL PASO	CM	ZONA05	DABAR	DABARZONA05	87872.778	1040152.5418512105	1559590.417551436
82	CO35	Bolívar	13	13	110	Zambrano	100.0	894	13894	291476490.539	70762.3613079	86	534	13	BOLIVAR	ZAMBRANO	ZAMBRANO	CM	ZONA07	DABAR	DABARZONA07	29147.649	909908.1625697677	1568807.8078546515
83	CO38	Magdalena	47	47	327	Santa Ana	100.0	707	47707	1103728825.19	243991.956049	87	502	47	MAGDALENA	SANTA ANA	SANTA ANA	CM	ZONA04	DABAR	DABARZONA04	110372.883	973701.6310632542	1545356.847277014
84	CO38	Magdalena	47	47	327	Pijiño del Carmen	100.0	545	47545	760951773.563	220833.961003	88	1063	47	MAGDALENA	PIJI¥O DEL CARMEN	PIJI¥O	CM	ZONA04	DABAR	DABARZONA04	76095.177	984164.0606786663	1538631.351126926
85	CO27	Sucre	70	70	445	Ovejas	100.0	508	70508	495502552.917	107264.328753	89	452	70	SUCRE	OVEJAS	OVEJAS	CM	ZONA02	DABAR	DABARZONA02	49550.255	878766.6338236196	1548418.3500119913
86	CO10	Cesar	20	20	209	La Jagua de Ibirico	100.0	400	20400	709095620.578	145203.616484	90	549	20	CESAR	LA JAGUA DE IBIRICO	LA JAGUA DE IBIRICO	CM	ZONA05	DABAR	DABARZONA05	70909.562	1081719.3303732537	1546424.8243946992
87	CO27	Sucre	70	70	445	Chalán	90.0	230	70230	96229046.5878	52798.6022061	91	445	70	SUCRE	CHALAN	CHALAN	CM	ZONA02	DABAR	DABARZONA02	9622.905	863677.1417260931	1550601.0845894762
88	CO35	Bolívar	13	13	110	Córdoba	91.0	212	13212	497595368.35	90346.8089249	92	510	13	BOLIVAR	CORDOBA	CORDOBA	CM	ZONA07	DABAR	DABARZONA07	49759.537	910804.4213712092	1546303.875295152
89	CO27	Sucre	70	70	453	Toluviejo	100.0	823	70823	265335605.749	75731.2810428	93	463	70	SUCRE	TOLUVIEJO	TOLUVIEJO	CM	ZONA02	DABAR	DABARZONA02	26533.561	850509.8526219216	1541116.843196755
90	CO27	Sucre	70	70	453	Coloso	100.0	204	70204	136290770.423	60795.2634807	94	443	70	SUCRE	COLOSO	RICAURTE (COLOSO)	CM	ZONA02	DABAR	DABARZONA02	13629.077	859285.7168989523	1543570.542293214
91	CO10	Cesar	20	20	206	Chiriguaná	94.0	178	20178	1022999126.02	198614.735084	95	542	20	CESAR	CHIRIGUANA	CHIRIGUANA	CM	ZONA05	DABAR	DABARZONA05	102299.913	1058957.7828477887	1532117.0984060043
92	CO10	Cesar	20	20	211	Astrea	100.0	032	20032	572341345.815	106081.523542	96	538	20	CESAR	ASTREA	ASTREA	CM	ZONA05	DABAR	DABARZONA05	57234.135	1011209.0113963765	1540890.4964936846
93	CO27	Sucre	70	70	455	San Pedro	100.0	717	70717	220696034.079	67584.5459091	97	459	70	SUCRE	SAN PEDRO	SAN PEDRO	CM	ZONA02	DABAR	DABARZONA02	22069.603	896047.174623262	1532105.4988336726
94	CO10	Cesar	20	20	205	Chimichagua	100.0	175	20175	1476479445.08	230317.1711	98	541	20	CESAR	CHIMICHAGUA	CHIMICHAGUA	CM	ZONA05	DABAR	DABARZONA05	147647.945	1034135.4672039978	1510973.4637168811
95	CO27	Sucre	70	70	454	Los Palmitos	100.0	418	70418	229208039.486	68538.8646364	99	449	70	SUCRE	LOS PALMITOS	LOS PALMITOS	CM	ZONA02	DABAR	DABARZONA02	22920.804	876364.3129046458	1533903.2010725774
96	CO27	Sucre	70	70	454	Morroa	100.0	473	70473	170026873.722	58242.3110159	100	451	70	SUCRE	MORROA	MORROA	CM	ZONA02	DABAR	DABARZONA02	17002.687	863803.6614994586	1529486.2089738604
97	CO38	Magdalena	47	47	332	San Sebastián de Buenavista	97.0	692	47692	417229235.66	118880.512677	101	500	47	MAGDALENA	SAN SEBASTIAN DE BUENAVISTA	SAN SEBASTIAN DE BUENAVISTA	CM	ZONA04	DABAR	DABARZONA04	41722.924	985240.8065251107	1523477.355176096
98	CO38	Magdalena	47	47	327	San Zenón	93.0	703	47703	271511015.646	102980.992989	102	501	47	MAGDALENA	SAN ZENON	SAN ZENON	CM	ZONA04	DABAR	DABARZONA04	27151.102	969014.0947110038	1520831.5364802708
99	CO35	Bolívar	13	13	094	Magangué	92.0	430	13430	1298784410.34	205946.894421	103	513	13	BOLIVAR	MAGANGUE	MAGANGUE	CM	ZONA04	DABAR	DABARZONA04	129878.441	927674.9061204328	1502853.4548234595
100	CO27	Sucre	70	70	455	Buenavista	100.0	110	70110	115179547.575	57553.8950323	104	441	70	SUCRE	BUENAVISTA	BUENAVISTA	CM	ZONA02	DABAR	DABARZONA02	11517.955	903869.1625741352	1521828.6959055313
101	CO12	Córdoba	23	23	233	San Antero	100.0	672	23672	227864401.669	72804.291523	105	434	23	CORDOBA	SAN ANTERO	SAN ANTERO	CM	ZONA08	DAMED	DAMEDZONA08	22786.44	814644.3032106183	1526003.1384165443
102	CO12	Córdoba	23	23	227	San Bernardo del Viento	100.0	675	23675	348140944.914	83114.3074021	106	435	23	CORDOBA	SAN BERNARDO DEL VIENTO	SAN BERNARDO DEL VIENTO	CM	ZONA08	DAMED	DAMEDZONA08	34814.094	794044.574375591	1523288.874212899
103	CO27	Sucre	70	70	442	Sincelejo	100.0	001	70001	303430378.971	87521.0688458	107	440	70	SUCRE	SINCELEJO	SINCELEJO	CM	ZONA02	DABAR	DABARZONA02	30343.038	851879.6382697906	1521304.9002903842
104	CO35	Bolívar	13	13	105	Talaiga Nuevo	95.0	780	13780	127123570.498	72700.3890315	108	526	13	BOLIVAR	TALAIGUA NUEVO	TALAIGUA NUEVO	CM	ZONA04	DABAR	DABARZONA04	12712.357	936832.7623291767	1522165.4372665072
105	CO27	Sucre	70	70	450	San Luis de Sincé	78.0	742	70742	374719068.231	115081.514075	109	460	70	SUCRE	SINCE	SINCE	CM	ZONA02	DABAR	DABARZONA02	37471.907	891601.1205900719	1514047.433595079
