MIGCO4_CODE	MIGCO4_NAME	MIGCO4_DEPT
391	Cucutilla	NORTE SANTANDER
391	Pamplonita	NORTE SANTANDER
391	Bochalema	NORTE SANTANDER
391	Durania	NORTE SANTANDER
392	Chinácota	NORTE SANTANDER
392	Herrán	NORTE SANTANDER
392	Ragonvalia	NORTE SANTANDER
393	Labateca	NORTE SANTANDER
393	Toledo	NORTE SANTANDER
394	Cácota	NORTE SANTANDER
394	Chitagá	NORTE SANTANDER
394	Mutiscua	NORTE SANTANDER
394	Silos	NORTE SANTANDER
395	Armenia	QUINDIO
396	Calarcá	QUINDIO
397	Circasia	QUINDIO
397	Salento	QUINDIO
398	La Tebaida	QUINDIO
399	Montenegro	QUINDIO
400	Filandia	QUINDIO
400	Quimbaya	QUINDIO
401	Buenavista	QUINDIO
401	Génova	QUINDIO
401	Pijao	QUINDIO
401	Córdoba	QUINDIO
402	Pereira	RISARALDA
403	Belén de Umbria	RISARALDA
404	Dosquebradas	RISARALDA
405	La Virginia	RISARALDA
405	Marsella	RISARALDA
406	Quinchía	RISARALDA
407	Santa Rosa de Cabal	RISARALDA
408	Guatica	RISARALDA
408	Mistrato	RISARALDA
409	Apía	RISARALDA
409	Pueblo Rico	RISARALDA
410	Balboa	RISARALDA
410	Santuario	RISARALDA
