	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS
320	CO03	Arauca	81	81	512	Cravo Norte	100.0	220	81220
321	CO03	Arauca	81	81	515	Tame	100.0	794	81794
322	CO26	Santander	68	68	428	San José de Miranda	96.0	684	68684
323	CO02	Antioquia	05	05	072	Entrerrios	100.0	264	05264
324	CO26	Santander	68	68	429	Curití	90.0	229	68229
325	CO03	Arauca	81	81	515	Puerto Rondón	95.0	591	81591
326	CO02	Antioquia	05	05	052	Olaya	100.0	501	05501
327	CO02	Antioquia	05	05	051	Santafe de Antioquia	100.0	042	05042
328	CO26	Santander	68	68	431	Cabrera	100.0	121	68121
329	CO26	Santander	68	68	419	San Gil	100.0	679	68679
330	CO02	Antioquia	05	05	058	Maceo	100.0	425	05425
331	CO26	Santander	68	68	430	Mogotes	100.0	464	68464
332	CO26	Santander	68	68	431	Hato	100.0	344	68344
333	CO02	Antioquia	05	05	053	Sopetrán	92.0	761	05761
334	CO26	Santander	68	68	428	San Miguel	100.0	686	68686
335	CO02	Antioquia	05	05	042	Urrao	100.0	847	05847
336	CO26	Santander	68	68	427	Capitanejo	100.0	147	68147
337	CO02	Antioquia	05	05	062	Cisneros	100.0	190	05190
338	CO26	Santander	68	68	427	Macaravita	100.0	425	68425
339	CO36	Boyacá	15	15	121	Covarachía	94.0	218	15218
340	CO02	Antioquia	05	05	072	Don Matías	94.0	237	05237
341	CO02	Antioquia	05	05	062	Santo Domingo	100.0	690	05690
342	CO26	Santander	68	68	431	Pinchote	100.0	549	68549
343	CO26	Santander	68	68	431	Palmar	100.0	522	68522
344	CO26	Santander	68	68	430	San Joaquín	94.0	682	68682
345	CO26	Santander	68	68	430	Onzaga	100.0	502	68502
346	CO02	Antioquia	05	05	058	San Roque	100.0	670	05670
347	CO26	Santander	68	68	422	Vélez	88.0	861	68861
348	CO26	Santander	68	68	437	Landazuri	100.0	385	68385
349	CO26	Santander	68	68	421	Socorro	100.0	755	68755
350	CO02	Antioquia	05	05	051	Caicedo	100.0	125	05125
351	CO02	Antioquia	05	05	007	Barbosa	100.0	079	05079
352	CO36	Boyacá	15	15	120	El Espino	100.0	248	15248
353	CO02	Antioquia	05	05	072	San Pedro	100.0	664	05664
354	CO02	Antioquia	05	05	053	San Jerónimo	95.0	656	05656
355	CO26	Santander	68	68	434	Santa Helena del Opón	97.0	720	68720
356	CO26	Santander	68	68	431	Paramo	100.0	533	68533
357	CO36	Boyacá	15	15	120	Guacamayas	100.0	317	15317
358	CO26	Santander	68	68	431	Valle de San José	96.0	855	68855
359	CO36	Boyacá	15	15	120	San Mateo	100.0	673	15673
360	CO26	Santander	68	68	435	Chimá	88.0	176	68176
361	CO36	Boyacá	15	15	120	Panqueba	100.0	522	15522
362	CO36	Boyacá	15	15	121	Tipacoque	100.0	810	15810
363	CO02	Antioquia	05	05	058	Caracolí	92.0	142	05142
364	CO02	Antioquia	05	05	063	Concepción	94.0	206	05206
365	CO02	Antioquia	05	05	022	Girardota	100.0	308	05308
366	CO36	Boyacá	15	15	122	Boavita	100.0	097	15097
367	CO02	Antioquia	05	05	016	Copacabana	100.0	212	05212
368	CO02	Antioquia	05	05	008	Bello	100.0	088	05088
